Material;Texto breve de material;Alm.;Lote;Ce.;Grupo art.;TpMt;Libre utilización;UMB;Trans./Trasl.;En control calidad;Stock no libre;Bloqueado;Devoluciones;Stock bloq.EM val.;Stk.envas.lig.;Stock en tránsito;En traslado
131005300;Burlete DC 3,5 mm uso Rollos 300m;3101;;3000;0087;ZREV;3,000;ROL;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
131015300;Burlete de estanq. ext./acrist. 2,5 m ne;3101;;3000;0087;ZREV;4,000;ROL;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
131025300;Burlete de estanqueidad interior negro,;3101;;3000;0087;ZREV;3,000;ROL;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
930035300;Burlete de contravidrio 1,5 mm EPDM negr;3101;;3000;0087;ZREV;1,000;ROL;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
930045300;Burlete de contravidrio 3,5 mm EPDM negr;3101;;3000;0087;ZREV;2,000;ROL;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-007;Bolsón de Polipropileno 90X90X125 cm.;3101;;3000;0075;ZMAP;2,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-009/1;FILM STREETCH 50cmx20mic Manual  5 kg;3101;;3000;0075;ZEMB;40,000;KG;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-009/2;FILM STREETCH 10cmx20mic Manual Precorte;3101;;3000;0075;ZEMB;135,000;KG;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-011;"ETIQ AUTOADHESIVA COTE 100X60mm "" OUT""";3101;;3000;0075;ZEMB;16.800,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-011/3;"Etiq. Autad. ROSA  100X60mm "" OUT""";3101;;3000;0075;ZEMB;65.200,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-011/4;ETIQ AUTOADHESIVA 100X60mm Naranja(2454);3101;;3000;0075;ZEMB;24.500,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-011/5;Etiq. Autadhesiva Azul  100X60mm;3101;;3000;0075;ZEMB;38.400,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-011/6;Etiq. Autadhesiva Amarilla  100X60mm;3101;;3000;0075;ZEMB;12.250,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-012/1;Etiqueta autoadhesiva ROSA 58x30mm;3101;;3000;0075;ZEMB;41.400,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-012/2;Etiq. Autadhesiva Azul  58X30mm;3101;;3000;0075;ZEMB;165.600,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-012/3;Etiq. Autadhesiva Amarilla  58X30mm;3101;;3000;0075;ZEMB;156.400,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-012/4;Etiq. Autadhesiva Naranja  58X30mm;3101;;3000;0075;ZEMB;27.600,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-013;RIBBON Negro 102 X 450 diametro 75;3101;;3000;0075;ZEMB;5,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-018;"ETIQ AUTOADHESIVA 160X270mm "" OUT""";3101;;3000;0075;ZEMB;7.500,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-026;BOLSA TUBO CRISTAL x17cm-60?-S/IMPRESION;3101;;3000;0075;ZMAP;87,258;ROL;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-026/1;BOLSA TUBO CRISTAL  x33cm-60?-S/IMPRESIO;3101;;3000;0075;ZMAP;7,970;ROL;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-026/3;BOLSA TUBO BLANCO 17cm-60?-IMPRESA;3101;;3000;0075;ZEMB;1,000;ROL;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-026/5;BOLSA TUBO CRISTAL x38cm-60? S/IMPRESION;3101;;3000;0075;ZEMB;17,514;ROL;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-026/6;BOLSA TUBO CRISTAL x43cm-60? S/IMPRESION;3101;;3000;0075;ZEMB;4,863;ROL;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-029;CARTON CAJA EMBALAJE PERFILES (3,13 x1)M;3101;;3000;0075;ZMAP;750,000;UN;1.520,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-061;CINTA ADHESIVA 48mm x 100mts TRANSPARENT;3101;;3000;0075;ZEMB;360,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-062;FILM DE POLIETILENO BICAPA 70MIC 4X100M;3101;;3000;0075;ZEMB;2,000;ROL;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-071;Puntera WallPanel Exterior 200x142x152;3101;;3000;0075;ZEMB;5.722,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-072;Puntera WallPanel Interior 200x142x152;3101;;3000;0075;ZEMB;8.922,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-073;Puntera Cielorraso Interior 230x136x152;3101;;3000;0075;ZEMB;11.024,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-074;Puntera Deck  155x136x151;3101;;3000;0075;ZEMB;1.905,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-078;Puntera Revest. esp 10 mm 230x117x152,12;3101;;3000;0075;ZEMB;3.880,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-079;Puntera Revest. esp 8 mm 275x90x152;3101;;3000;0075;ZEMB;5.550,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
EM-080;Puntera kit revestimiento 13 mm (60 cm);3101;;3000;0075;ZEMB;3.562,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FLE-030;Film Protec Polietil 30 mm FOLIADO;3101;0000038041;3000;0075;ZMAP;6.951,437;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FLE-042;Film Protec Polietil 42 mm FOLIADO;3101;0000038042;3000;0075;ZMAP;4.168,104;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FLE-048;Film Protec Polietil 48 mm FOLIADO;3101;0000037714;3000;0075;ZMAP;6.193,131;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FLE-048;Film Protec Polietil 48 mm FOLIADO;3101;0000038043;3000;0075;ZMAP;15.228,000;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FLE-055;Film Protec Polietil 55 mm FOLIADO;3101;0000038044;3000;0075;ZMAP;9.064,566;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FLE-060;Film Protec Polietil 60 mm FOLIADO;3101;0000038045;3000;0075;ZMAP;18.593,603;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FLE-070;Film Protec Polietil 70 mm FOLIADO;3101;0000038046;3000;0075;ZMAP;1.253,688;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FLE-080;Film Protec Polietil 80 mm FOLIADO;3101;0000038047;3000;0075;ZMAP;7.311,340;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FLE-090;Film Protec Polietil 90 mm FOLIADO;3101;0000038048;3000;0075;ZMAP;1.221,023;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FLE-190;Film Protec Polietil 190 mm FOLIADO;3101;0000038049;3000;0075;ZMAP;12.411,826;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FLI-030;Film Protec Polietil 30mm FOL. INTERIOR;3101;0000038050;3000;0075;ZMAP;11.307,000;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FLI-042;Film Protec Polietil 42mm FOL.  INTERIOR;3101;0000037542;3000;0075;ZMAP;9.232,699;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FLI-048;Film Protec Polietil 42 mm FOL. INTERIOR;3101;0000037543;3000;0075;ZEMB;3.156,000;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FLI-055;Film Protec Polietil 55mm FOL. INTERIOR;3101;0000037544;3000;0075;ZEMB;4.139,590;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FLI-070;Film Protec Polietil 70 mm FOL. INTERIOR;3101;0000037546;3000;0075;ZMAP;4.198,204;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FLI-190;Film Protec Polietil 190mm  FOL INTERIOR;3101;0000038051;3000;0075;ZMAP;24.206,247;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-002;FOIL NATURAL OAK F426-2025;3101;0000037830;3000;0088MPFO;ZMAP;320,100;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-004;FOIL Grey Anthracite 9189;3101;0000035880;3000;0088MPFO;ZMAP;6.345,900;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-005;Foil umbragrau mattex CC F470-6065;3101;0000037433;3000;0088MPFO;ZMAP;1.659,900;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-007;Renolit RAISIN BLACK Ulti-Matt;3101;0000037821;3000;0088MPFO;ZMAP;16.268,350;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-008;FOIL CHERRY AMARETO F436-3043;3101;0000035887;3000;0088MPFO;ZMAP;349,800;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-011;FOIL GRIS ANTRACITA F436-7003;3101;0000037958;3000;0088MPFO;ZMAP;4.455,000;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-011;FOIL GRIS ANTRACITA F436-7003;3101;0000038343;3000;0088MPFO;ZMAP;17.663,580;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-011;FOIL GRIS ANTRACITA F436-7003;3101;0000038422;3000;0088MPFO;ZMAP;7.194,000;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-012;FOIL  NEGRO F446-6010;3101;0000037652;3000;0088MPFO;ZMAP;330,000;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-012;FOIL  NEGRO F446-6010;3101;0000037667;3000;0088MPFO;ZMAP;689,040;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-014;FOIL PELTRE F436-1004;3101;0000037960;3000;0088MPFO;ZMAP;273,900;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-015;FOIL BRONCE TITANIO F436-1008;3101;0000038344;3000;0088MPFO;ZMAP;349,800;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-018;FOIL LENGA F436-3077;3101;0000037961;3000;0088MPFO;ZMAP;1.452,000;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-018;FOIL LENGA F436-3077;3101;0000038345;3000;0088MPFO;ZMAP;343,200;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-020;FOIL X-BRUSH TITAN F436-1021;3101;0000036402;3000;0088MPFO;ZMAP;1.407,780;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-024;FOIL WOODEC TURNER OAK F470-3001;3101;0000038425;3000;0088MPFO;ZMAP;653,400;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-030;FOIL  Eiche Mocca F4462075;3101;0000037920;3000;0088MPFO;ZMAP;66,000;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-034;FOIL CONCRETE CC  F436-9019;3101;0000037760;3000;0088MPFO;ZMAP;1.610,400;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-034;FOIL CONCRETE CC  F436-9019;3101;0000037804;3000;0088MPFO;ZMAP;277,200;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-036;FOIL TOFFEE F470-3004;3101;0000037776;3000;0088MPFO;ZMAP;990,000;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-037;FOIL ALPINE F470-3002;3101;0000037672;3000;0088MPFO;ZMAP;990,000;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-037;FOIL ALPINE F470-3002;3101;0000037841;3000;0088MPFO;ZMAP;2.283,600;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-039;FOIL GOLDBRONZE F436-1025;3101;0000038427;3000;0088MPFO;ZMAP;699,600;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-040;WINSHIELD UVX+/SAND/NEW BLACK;3101;0000037822;3000;0088MPFO;ZMAP;3.020,956;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-052;WHITE ALUMINIUM  F470-1032;3101;0000037965;3000;0088MPFO;ZMAP;330,000;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-052;WHITE ALUMINIUM  F470-1032;3101;0000038352;3000;0088MPFO;ZMAP;660,000;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-053;Fango matt CC+ F44660510;3101;0000037952;3000;0088MPFO;ZMAP;339,900;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-054;FOIL CREME F456-5054;3101;0000037260;3000;0088MPFO;ZMAP;627,000;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-058;Foil Larch Nature LR1;3101;0000037727;3000;0088MPFO;ZMAP;1.512,500;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-059;Foil Larch Terra Brown LR4;3101;0000037728;3000;0088MPFO;ZMAP;474,900;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-060;Foil Larch Marrone LR5;3101;0000037729;3000;0088MPFO;ZMAP;2.283,600;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOE-061;Foil Golden Oak G01 5192 (matt);3101;0000037730;3000;0088MPFO;ZMAP;799,100;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOI-029;Foil Interior Almendra KMF17;3101;0000034124;3000;0088MPFO;ZMAP;2.309,060;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOI-031;Foil Interior ABedul KMF08;3101;0000034766;3000;0088MPFO;ZMAP;1.548,000;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOI-043;Foil interior OAK  P8HB1T;3101;0000037849;3000;0088MPFO;ZMAP;138,600;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOI-044;Foil interior EUCALYPTUS PFHA2T;3101;0000037850;3000;0088MPFO;ZMAP;105,500;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOI-047;Foil interior TEAK  PAFB3T;3101;0000037102;3000;0088MPFO;ZMAP;1.404,900;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOI-047;Foil interior TEAK  PAFB3T;3101;0000037182;3000;0088MPFO;ZMAP;1.911,850;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOI-047;Foil interior TEAK  PAFB3T;3101;0000037274;3000;0088MPFO;ZMAP;2.522,362;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOI-049;Foil interior WHITE CONCRETE PNCD3T;3101;0000037816;3000;0088MPFO;ZMAP;5.426,412;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
FOI-050;Foil interior CONCRETE C. PNCD2T;3101;0000037817;3000;0088MPFO;ZMAP;3.607,458;M2;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
L-015;Lubricante AEROSOL HD440 432cmł;3101;;3000;0075;ZMAP;58,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
L-017;Adhesivo para PVC Duke 100 grs;3101;;3000;0075;ZMAP;3,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
L-019;Cinta Doble Faz PP BOPP rojo 48mm x 50m;3101;;3000;0075;ZMAP;19,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
L-022;Fieltro 70 x 10mm  rollo 10 m;3101;;3000;0075;ZMAP;23,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
L-023;Fieltro 30 x 10 mm rollo 10m;3101;;3000;0075;ZMAP;60,000;UN;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
